Time,Bus-101-Mag,Bus-101-Ang,Bus-102-Mag,Bus-102-Ang,Bus-1010110201-Mag,Bus-1010110201-Ang
0.0,1.05,0.0,1.04,-0.09152464901742782,1.046080189527288,-0.04570778295376323
1.0e-6,1.05000000000005,2.0797096109695355e-14,1.0399999999999483,-0.09152464901742344,1.046080189527268,-0.04570778295352266
4.405827498308871e-6,1.0500000000001926,1.4875110103392813e-13,1.039999999999814,-0.09152464901746216,1.0460801895272007,-0.04570778295270347
9.638098270808027e-6,1.0500000000002612,4.3618770748488293e-13,1.039999999999778,-0.0915246490175861,1.0460801895271,-0.04570778295144655
1.7705334964390586e-5,1.0500000000000487,7.501867979999792e-13,1.0400000000000091,-0.09152464901758402,1.04608018952695,-0.04570778294951694
2.668289285810595e-5,1.0499999999998648,7.500319014675411e-13,1.0400000000001335,-0.0915246490172288,1.0460801895267924,-0.045707782947390085
3.903624416195054e-5,1.0500000000000476,8.964384945164111e-13,1.0399999999998948,-0.09152464901692017,1.0460801895265917,-0.04570778294451803
5.692493235294309e-5,1.0499999999999252,1.5129931633905058e-12,1.0399999999999916,-0.0915246490166064,1.0460801895263363,-0.04570778294052221
7.791707719961474e-5,1.0499999999999408,2.1587686230381987e-12,1.0399999999998646,-0.09152464901579205,1.0460801895260927,-0.04570778293617245
0.00011006726972362106,1.0499999999997722,3.830488548994677e-12,1.0399999999998608,-0.09152464901416874,1.0460801895258323,-0.04570778293045122
0.00014362367006592042,1.0499999999996512,6.27421845051023e-12,1.0399999999997855,-0.09152464901184248,1.0460801895256855,-0.04570778292595728
0.0001946667225159006,1.049999999999472,1.0936208927898087e-11,1.0399999999996992,-0.09152464900725821,1.0460801895256184,-0.04570778292232352
0.00025867733169941703,1.0499999999993403,1.7189798725874472e-11,1.0399999999997183,-0.09152464900110532,1.046080189525577,-0.04570778292283894
0.00033790322357423825,1.0499999999993659,2.2802717273456572e-11,1.0399999999998675,-0.09152464899560327,1.0460801895252714,-0.04570778292859481
0.00042821512547445566,1.0499999999994079,2.3896975581377662e-11,1.0399999999998877,-0.09152464899457907,1.0460801895245466,-0.04570778293651735
0.0005282151254744557,1.0499999999990826,1.9686790358428304e-11,1.0399999999993816,-0.0915246489987945,1.0460801895238196,-0.045707782941623365
0.0006282151254744557,1.0499999999983984,1.4277064952781353e-11,1.0399999999984872,-0.09152464900417677,1.0460801895236895,-0.04570778294223485
0.0007282151254744557,1.0499999999978127,1.1266417578912703e-11,1.0399999999977618,-0.09152464900717305,1.0460801895239968,-0.045707782941268316
0.0008282151254744558,1.0499999999976433,1.0953379835838028e-11,1.0399999999975276,-0.09152464900749571,1.0460801895241516,-0.04570778294127792
0.0009282151254744558,1.0499999999977416,1.1537050310241895e-11,1.0399999999975853,-0.09152464900692672,1.046080189523818,-0.04570778294254326
0.0010282151254744558,1.0499999999977294,1.1465810266508767e-11,1.039999999997518,-0.09152464900699483,1.0460801895231835,-0.04570778294393717
0.0011282151254744558,1.0499999999974186,1.0563720467201774e-11,1.0399999999971348,-0.09152464900787258,1.046080189522648,-0.04570778294460772
0.0012282151254744559,1.0499999999969445,9.527139811663912e-12,1.0399999999965899,-0.09152464900887478,1.046080189522395,-0.045707782944669074
0.001328215125474456,1.0499999999965564,8.926326844840541e-12,1.0399999999961456,-0.09152464900944283,1.0460801895222989,-0.04570778294472089
0.001428215125474456,1.0499999999963585,8.750736881998376e-12,1.0399999999959046,-0.09152464900958998,1.046080189522144,-0.0457077829451098
0.001528215125474456,1.0499999999962628,8.661569913622622e-12,1.0399999999957708,-0.09152464900964992,1.0460801895218614,-0.04570778294570094
0.001628215125474456,1.049999999996129,8.423731256139498e-12,1.0399999999956,-0.0915246490098522,1.0460801895215484,-0.04570778294616866
0.001728215125474456,1.0499999999959102,8.067635996230596e-12,1.039999999995346,-0.0915246490101668,1.0460801895213223,-0.04570778294635362
0.0018282151254744561,1.0499999999956642,7.750446910216102e-12,1.03999999999507,-0.09152464901043987,1.0460801895211997,-0.04570778294635058
0.0019282151254744562,1.0499999999954626,7.558758173228357e-12,1.039999999994845,-0.09152464901058882,1.0460801895211027,-0.04570778294635117
0.0020282151254744562,1.0499999999953187,7.451354254633616e-12,1.039999999994683,-0.09152464901065437,1.0460801895209526,-0.04570778294646552
0.002128215125474456,1.0499999999951901,7.335988256261526e-12,1.039999999994541,-0.09152464901072671,1.0460801895207374,-0.04570778294667618
0.002228215125474456,1.049999999995033,7.162806255535105e-12,1.0399999999943728,-0.0915246490108553,1.0460801895205019,-0.04570778294690767
0.0023282151254744557,1.0499999999948402,6.947975002917357e-12,1.0399999999941727,-0.09152464901102363,1.0460801895202942,-0.04570778294710718
0.0024282151254744555,1.0499999999946374,6.733818019408426e-12,1.0399999999939675,-0.09152464901119121,1.0460801895201262,-0.045707782947269605
0.0025282151254744554,1.049999999994451,6.547799326954551e-12,1.039999999993783,-0.09152464901133134,1.046080189519979,-0.04570778294741402
0.002628215125474455,1.0499999999942862,6.387764075233642e-12,1.0399999999936242,-0.09152464901144686,1.046080189519829,-0.04570778294755331
0.002728215125474455,1.0499999999941305,6.23891528137552e-12,1.0399999999934788,-0.09152464901155283,1.0460801895196696,-0.045707782947687
0.002828215125474455,1.0499999999939713,6.091332556357754e-12,1.0399999999933334,-0.0915246490116585,1.046080189519506,-0.04570778294781146
0.0029282151254744547,1.049999999993804,5.9455666635347615e-12,1.0399999999931835,-0.09152464901176359,1.046080189519347,-0.04570778294792823
