Time,Bus-101-Mag,Bus-101-Ang,Bus-102-Mag,Bus-102-Ang,Bus-1010110201-Mag,Bus-1010110201-Ang,Bus-1010110202-Mag,Bus-1010110202-Ang
0.0,1.05,0.0,1.04,-0.049677626108490525,1.0507416055702594,-0.01680457569782958,1.047406546033521,-0.03332121725039636
1.0e-6,1.05,2.2474821045432398e-17,1.04,-0.04967762610849057,1.0507416055702596,-0.01680457569782894,1.0474065460335207,-0.03332121725039572
3.8132218775754765e-6,1.0499999999999998,9.487278881546723e-17,1.0399999999999994,-0.049677626108490754,1.0507416055702605,-0.016804575697827142,1.0474065460335196,-0.03332121725039394
1.1074552386668183e-5,1.0499999999999992,4.935622282011414e-16,1.039999999999999,-0.0496776261084912,1.0507416055702632,-0.016804575697822486,1.0474065460335173,-0.033321217250389355
3.318524160395102e-5,1.0499999999999976,-1.4473514302818273e-16,1.0399999999999987,-0.04967762610849005,1.0507416055702707,-0.016804575697808462,1.04740654603351,-0.033321217250375484
6.837581594338273e-5,1.0500000000000007,1.911404529460028e-15,1.0400000000000011,-0.04967762610848794,1.0507416055702816,-0.016804575697787087,1.0474065460335003,-0.033321217250354064
0.00015059801945143384,1.0500000000000183,1.8002639716098616e-14,1.0400000000000182,-0.04967762610847079,1.050741605570297,-0.016804575697745024,1.0474065460334907,-0.03332121725031124
0.00025059801945143383,1.0500000000000411,5.4378060871592396e-14,1.040000000000042,-0.04967762610843418,1.0507416055702916,-0.016804575697712845,1.0474065460335136,-0.033321217250280144
0.0003505980194514338,1.0500000000000533,8.827738913540216e-14,1.040000000000055,-0.04967762610839803,1.0507416055702767,-0.01680457569769938,1.047406546033563,-0.033321217250272164
0.0004505980194514338,1.0500000000000569,1.0103361539997332e-13,1.0400000000000602,-0.049677626108379995,1.050741605570279,-0.016804575697700573,1.0474065460336062,-0.033321217250277785
0.0005505980194514339,1.0500000000000618,9.290658843525211e-14,1.0400000000000662,-0.049677626108381896,1.050741605570311,-0.01680457569771485,1.047406546033618,-0.0333212172502866
0.0006505980194514339,1.050000000000074,7.480176568706103e-14,1.0400000000000766,-0.04967762610839647,1.0507416055703567,-0.016804575697739552,1.0474065460336028,-0.03332121725029559
0.000750598019451434,1.0500000000000884,5.742229396113855e-14,1.0400000000000886,-0.04967762610841273,1.0507416055703858,-0.016804575697767155,1.047406546033587,-0.03332121725030994
0.000850598019451434,1.0500000000000973,4.2481097931033694e-14,1.0400000000000962,-0.04967762610842655,1.0507416055703802,-0.01680457569778824,1.047406546033594,-0.03332121725033485
0.000950598019451434,1.0500000000000964,2.6284221234414707e-14,1.0400000000000955,-0.049677626108439656,1.0507416055703485,-0.016804575697799872,1.047406546033618,-0.03332121725036708
0.001050598019451434,1.0500000000000882,7.689896453327156e-15,1.04000000000009,-0.04967762610845281,1.0507416055703185,-0.016804575697809045,1.0474065460336341,-0.033321217250394615
0.001150598019451434,1.0500000000000773,-9.82429019940229e-15,1.0400000000000824,-0.049677626108464656,1.0507416055703116,-0.016804575697825244,1.0474065460336222,-0.03332121725040597
0.001250598019451434,1.050000000000066,-2.3014082026335403e-14,1.0400000000000749,-0.04967762610847363,1.050741605570324,-0.016804575697848854,1.0474065460335868,-0.03332121725040098
0.0013505980194514341,1.0500000000000567,-2.965241588034564e-14,1.0400000000000673,-0.04967762610847883,1.0507416055703334,-0.0168045756978681,1.0474065460335522,-0.03332121725039212
0.0014505980194514342,1.0500000000000473,-3.008692531117353e-14,1.0400000000000598,-0.04967762610847942,1.0507416055703211,-0.016804575697869358,1.0474065460335409,-0.03332121725039338
0.0015505980194514342,1.0500000000000367,-2.8305204134528685e-14,1.0400000000000515,-0.04967762610847757,1.0507416055702905,-0.016804575697851137,1.0474065460335524,-0.03332121725040629
0.0016505980194514343,1.0500000000000256,-2.570354888916804e-14,1.040000000000046,-0.049677626108473226,1.0507416055702614,-0.01680457569782789,1.047406546033567,-0.03332121725041741
0.0017505980194514343,1.050000000000016,-2.1882931348984665e-14,1.0400000000000424,-0.049677626108467446,1.050741605570253,-0.01680457569781775,1.0474065460335653,-0.033321217250410866
0.0018505980194514343,1.050000000000009,-1.6212471414951143e-14,1.0400000000000411,-0.04967762610846045,1.050741605570265,-0.016804575697825314,1.0474065460335469,-0.033321217250384706
0.0019505980194514344,1.0500000000000076,-7.647547386586767e-15,1.0400000000000422,-0.04967762610845327,1.0507416055702818,-0.01680457569783672,1.0474065460335267,-0.03332121725035497
0.0020505980194514342,1.050000000000009,9.061747779481566e-16,1.0400000000000444,-0.049677626108447066,1.0507416055702865,-0.01680457569783265,1.0474065460335227,-0.03332121725034212
0.002150598019451434,1.050000000000011,8.981013400245653e-15,1.0400000000000478,-0.049677626108441515,1.0507416055702774,-0.01680457569780803,1.0474065460335387,-0.03332121725035214
0.002250598019451434,1.0500000000000111,1.4466176337927796e-14,1.0400000000000509,-0.049677626108437185,1.0507416055702656,-0.016804575697778473,1.0474065460335606,-0.033321217250370294
0.0023505980194514337,1.050000000000011,1.8550425488913645e-14,1.0400000000000555,-0.049677626108433924,1.0507416055702656,-0.016804575697766767,1.0474065460335718,-0.03332121725037456
0.0024505980194514335,1.0500000000000127,2.257713695748628e-14,1.0400000000000615,-0.049677626108430926,1.050741605570279,-0.016804575697781158,1.047406546033569,-0.03332121725035672
0.0025505980194514334,1.050000000000017,2.465436540773735e-14,1.0400000000000664,-0.049677626108431,1.050741605570295,-0.016804575697806336,1.0474065460335609,-0.03332121725033088
