Time,Bus-101-Mag,Bus-101-Ang,Bus-102-Mag,Bus-102-Ang,Bus-1010110201-Mag,Bus-1010110201-Ang,Bus-1010110202-Mag,Bus-1010110202-Ang,Bus-1010110203-Mag,Bus-1010110203-Ang,Bus-1010110204-Mag,Bus-1010110204-Ang,Bus-1010110205-Mag,Bus-1010110205-Ang,Bus-1010110206-Mag,Bus-1010110206-Ang,Bus-1010110207-Mag,Bus-1010110207-Ang,Bus-1010110208-Mag,Bus-1010110208-Ang,Bus-1010110209-Mag,Bus-1010110209-Ang
0.0,1.05,0.0,1.04,-0.09149386183335356,1.0493896524170427,-0.009138931573723594,1.0486924424541635,-0.01827611078844816,1.0479084087918031,-0.027413057376458445,1.0470376264687575,-0.03655129537045788,1.0460802069003508,-0.04569235362097667,1.0450362979034056,-0.05483776631841113,1.0439060837281129,-0.06398907351911157,1.0426897850968817,-0.07314782167492472,1.0413876592502604,-0.08231556416558529
1.0e-6,1.0499999999999534,1.2805565817515925e-13,1.0399999999999772,-0.09149386183321391,1.0493896524170412,-0.009138931573698796,1.0486924424542563,-0.01827611078836233,1.0479084087919845,-0.02741305737629923,1.0470376264689765,-0.036551295370232766,1.046080206900522,-0.04569235362071103,1.04503629790344,-0.05483776631814353,1.0439060837279601,-0.06398907351888836,1.0426897850965768,-0.07314782167478297,1.0413876592499203,-0.08231556416552083
2.7825125414580853e-6,1.0499999999998941,3.323010985513275e-13,1.039999999999918,-0.09149386183298072,1.0493896524170387,-0.009138931573654162,1.0486924424544222,-0.0182761107882094,1.047908408792308,-0.027413057376015612,1.0470376264693664,-0.03655129536983177,1.0460802069008275,-0.04569235362023778,1.0450362979035015,-0.05483776631766667,1.0439060837276881,-0.06398907351849047,1.0426897850960344,-0.07314782167453002,1.0413876592493148,-0.08231556416540523
6.145383850705947e-6,1.0499999999998013,7.008939432055786e-13,1.0399999999998102,-0.09149386183264159,1.0493896524170359,-0.009138931573566189,1.0486924424547346,-0.0182761107879209,1.047908408792918,-0.027413057375481314,1.0470376264701011,-0.036551295369076545,1.0460802069014024,-0.0456923536193464,1.0450362979036172,-0.054837766316768205,1.0439060837271763,-0.06398907351774019,1.042689785095014,-0.0731478216740517,1.0413876592481814,-0.08231556416518267
1.0334715437653832e-5,1.0499999999996652,1.0526324760395053e-12,1.0399999999996945,-0.09149386183229244,1.0493896524170376,-0.009138931573443946,1.048692442455124,-0.01827611078756103,1.0479084087936748,-0.02741305737481748,1.0470376264710108,-0.03655129536813915,1.0460802069021122,-0.045692353618240145,1.0450362979037584,-0.054837766315652944,1.043906083726543,-0.0639890735168076,1.042689785093754,-0.07314782167345356,1.0413876592467997,-0.08231556416489283
1.6027710182018798e-5,1.0499999999994771,1.4185848306202178e-12,1.039999999999502,-0.09149386183197764,1.0493896524170567,-0.009138931573243905,1.048692442455653,-0.018276110787069574,1.0479084087946913,-0.027413057373919417,1.0470376264722279,-0.03655129536687403,1.046080206903057,-0.04569235361674809,1.0450362979039398,-0.054837766314148995,1.0439060837256942,-0.06398907351554756,1.042689785092074,-0.07314782167263585,1.0413876592450106,-0.08231556416446834
2.5553401361380706e-5,1.0499999999990617,1.8006536302620928e-12,1.039999999999061,-0.09149386183169388,1.049389652417151,-0.0091389315727939,1.0486924424565376,-0.01827611078623295,1.0479084087963433,-0.027413057372430157,1.0470376264741805,-0.03655129536478921,1.0460802069045512,-0.045692353614294814,1.0450362979041983,-0.05483776631167911,1.0439060837243161,-0.06398907351347066,1.0426897850893975,-0.07314782167125139,1.041387659242361,-0.08231556416366437
4.7602896078792435e-5,1.049999999997577,2.4210846102447178e-12,1.039999999997473,-0.09149386183143152,1.0493896524177277,-0.009138931571149315,1.0486924424585764,-0.01827611078411853,1.0479084087997599,-0.027413057369066084,1.0470376264780195,-0.03655129536019773,1.0460802069073054,-0.045692353608947335,1.0450362979044345,-0.05483776630632659,1.0439060837214618,-0.06398907350891289,1.0426897850843817,-0.07314782166792992,1.0413876592385471,-0.08231556416141315
6.965239079620417e-5,1.0499999999960494,3.5977074707470216e-12,1.0399999999958038,-0.09149386183072207,1.0493896524185746,-0.009138931568881821,1.048692442460564,-0.01827611078151944,1.0479084088023043,-0.027413057365809127,1.0470376264804255,-0.03655129535606886,1.046080206908624,-0.045692353604281914,1.045036297903994,-0.054837766301713484,1.0439060837194,-0.06398907350482624,1.0426897850820924,-0.07314782166444585,1.0413876592380853,-0.08231556415897268
0.00010440292207061646,1.049999999995604,6.925799390024547e-12,1.0399999999951117,-0.09149386182815275,1.0493896524195085,-0.009138931564665869,1.048692442462907,-0.018276110776281572,1.0479084088038837,-0.027413057360645577,1.0470376264804766,-0.03655129535071845,1.0460802069072472,-0.04569235359876618,1.045036297902172,-0.05483776629630102,1.0439060837191356,-0.06398907349946342,1.0426897850853991,-0.07314782165927079,1.0413876592413618,-0.08231556415535407
0.00014782889024794255,1.0499999999982774,1.1988325273459811e-11,1.0399999999975171,-0.09149386182378615,1.0493896524202027,-0.009138931558261343,1.0486924424618649,-0.018276110769173185,1.04790840880063,-0.027413057353958097,1.0470376264746273,-0.03655129534574508,1.046080206901447,-0.04569235359499731,1.045036297900892,-0.054837766292580116,1.0439060837255345,-0.06398907349518969,1.0426897850956138,-0.07314782165506976,1.0413876592479037,-0.08231556415081286
