Time,Bus-101-Mag,Bus-101-Ang,Bus-102-Mag,Bus-102-Ang
0.0,1.0500000000037137,1.9370623899582692e-11,1.039999999990165,-1.0019874101672295
1.0e-6,1.050000000003714,1.9370615797014977e-11,1.039999999990165,-1.0019874101672293
2.763433480244329e-6,1.0500000000037137,1.937073156425848e-11,1.0399999999901648,-1.0019874101672293
5.675836569661259e-6,1.050000000003714,1.9370615634728758e-11,1.039999999990165,-1.0019874101672293
1.0621448123744794e-5,1.0500000000037137,1.9370729957414388e-11,1.0399999999901648,-1.0019874101672293
1.9219019356103187e-5,1.050000000003714,1.9370612625414376e-11,1.039999999990165,-1.0019874101672293
3.3801636528117714e-5,1.0500000000037137,1.9370557128938958e-11,1.0399999999901648,-1.0019874101672295
6.0418754255588315e-5,1.0500000000037135,1.9370413589394084e-11,1.0399999999901648,-1.0019874101672297
9.946771457616891e-5,1.0500000000037137,1.9370692709079476e-11,1.0399999999901648,-1.0019874101672295
0.00017004541961836075,1.0500000000037135,1.9370611121270184e-11,1.0399999999901648,-1.0019874101672295
0.00027004541961836074,1.050000000003714,1.9370436367933232e-11,1.0399999999901648,-1.0019874101672295
0.00037004541961836073,1.0500000000037142,1.9370504899785884e-11,1.039999999990165,-1.0019874101672295
0.0004700454196183607,1.0500000000037142,1.9370651585273776e-11,1.039999999990165,-1.0019874101672293
0.0005700454196183607,1.050000000003714,1.9370524431144858e-11,1.039999999990165,-1.0019874101672295
0.0006700454196183608,1.050000000003714,1.9370679098023695e-11,1.0399999999901648,-1.0019874101672295
0.0007700454196183608,1.0500000000037142,1.9370616309152686e-11,1.0399999999901652,-1.0019874101672293
0.0008700454196183608,1.0500000000037144,1.9370469766285876e-11,1.0399999999901652,-1.0019874101672295
0.0009700454196183609,1.0500000000037142,1.9370511360858474e-11,1.0399999999901652,-1.0019874101672295
0.0010700454196183608,1.0500000000037146,1.937069398815956e-11,1.0399999999901652,-1.0019874101672293
0.0011700454196183609,1.0500000000037144,1.9370487975210574e-11,1.0399999999901652,-1.0019874101672293
0.001270045419618361,1.0500000000037142,1.937074460761708e-11,1.0399999999901652,-1.0019874101672293
0.001370045419618361,1.0500000000037144,1.937085498500827e-11,1.0399999999901655,-1.001987410167229
0.001470045419618361,1.050000000003714,1.937084872269437e-11,1.039999999990165,-1.0019874101672293
0.001570045419618361,1.050000000003714,1.9370257733066523e-11,1.0399999999901652,-1.0019874101672295
0.001670045419618361,1.0500000000037144,1.9370943992031603e-11,1.039999999990165,-1.0019874101672293
0.0017700454196183611,1.0500000000037142,1.9370930939579934e-11,1.039999999990165,-1.0019874101672293
0.0018700454196183612,1.050000000003714,1.9370930462283437e-11,1.039999999990165,-1.0019874101672293
0.001970045419618361,1.050000000003714,1.9370721444517577e-11,1.0399999999901648,-1.0019874101672295
0.002070045419618361,1.050000000003714,1.9370910602087674e-11,1.0399999999901648,-1.0019874101672293
0.0021700454196183607,1.050000000003714,1.937096488820972e-11,1.0399999999901648,-1.0019874101672295
0.0022700454196183605,1.050000000003714,1.937100368278482e-11,1.0399999999901648,-1.0019874101672293
0.0023700454196183603,1.0500000000037144,1.9370600086637644e-11,1.0399999999901652,-1.0019874101672295
0.00247004541961836,1.0500000000037144,1.9370465552870603e-11,1.0399999999901652,-1.0019874101672295
0.00257004541961836,1.0500000000037144,1.937048884310269e-11,1.039999999990165,-1.0019874101672295
0.00267004541961836,1.050000000003714,1.9370205348641825e-11,1.039999999990165,-1.0019874101672297
0.0027700454196183597,1.0500000000037144,1.937034362050287e-11,1.0399999999901652,-1.0019874101672295
0.0028700454196183595,1.0500000000037144,1.9370334193464093e-11,1.0399999999901652,-1.0019874101672295
0.0029700454196183593,1.050000000003714,1.9370324919940953e-11,1.039999999990165,-1.0019874101672297
0.003070045419618359,1.050000000003714,1.9370168228909882e-11,1.039999999990165,-1.0019874101672297
0.003170045419618359,1.0500000000037137,1.937033947887546e-11,1.0399999999901648,-1.0019874101672297
0.003270045419618359,1.050000000003714,1.9370544612966975e-11,1.0399999999901648,-1.0019874101672295
0.0033700454196183586,1.0500000000037142,1.937081598228867e-11,1.0399999999901648,-1.0019874101672293
0.0034700454196183585,1.0500000000037137,1.9370783725626388e-11,1.0399999999901648,-1.0019874101672295
0.0035700454196183583,1.0500000000037142,1.9370903629255428e-11,1.0399999999901648,-1.0019874101672293
0.003670045419618358,1.050000000003714,1.937077234565601e-11,1.039999999990165,-1.0019874101672293
0.003770045419618358,1.0500000000037142,1.9370481850023157e-11,1.039999999990165,-1.0019874101672295
0.0038700454196183578,1.050000000003714,1.9370669630104614e-11,1.039999999990165,-1.0019874101672295
0.003970045419618358,1.050000000003714,1.937069108590227e-11,1.0399999999901648,-1.0019874101672295
0.004070045419618358,1.050000000003714,1.93708738721944e-11,1.0399999999901648,-1.0019874101672295
0.004170045419618358,1.050000000003714,1.937063659310765e-11,1.039999999990165,-1.0019874101672295
0.004270045419618358,1.050000000003714,1.9370625589564967e-11,1.0399999999901648,-1.0019874101672295
0.004370045419618359,1.0500000000037137,1.9370674870368554e-11,1.0399999999901648,-1.0019874101672295
0.004470045419618359,1.0500000000037142,1.9370876458925473e-11,1.039999999990165,-1.0019874101672293
0.004570045419618359,1.0500000000037137,1.9370677423007228e-11,1.039999999990165,-1.0019874101672295
0.004670045419618359,1.050000000003714,1.9370709461041628e-11,1.039999999990165,-1.0019874101672295
0.00477004541961836,1.050000000003714,1.93706311462266e-11,1.039999999990165,-1.0019874101672295
