Time,generator-1-1_ir_cnv,generator-1-1_ii_cnv,generator-2-1_ir_cnv,generator-2-1_ii_cnv,generator-1-1_i_mag
0.0,0.16112744309100047,0.24628279575960327,0.16565680039665326,0.3711749647921175,0.29430811814187197
1.0e-6,0.16112744309100052,0.24628279575960327,0.16565680039665528,0.3711749647921174,0.29430811814187197
2.7798957229088145e-6,0.16112744309100063,0.24628279575960327,0.16565680039665884,0.3711749647921173,0.294308118141872
6.045081913323898e-6,0.16112744309100085,0.24628279575960327,0.16565680039666525,0.3711749647921171,0.29430811814187213
1.1139834084793655e-5,0.1611274430910012,0.24628279575960335,0.16565680039667496,0.3711749647921165,0.2943081181418724
1.81052339702639e-5,0.1611274430910016,0.24628279575960352,0.16565680039668773,0.3711749647921152,0.2943081181418728
2.8422917262977037e-5,0.16112744309100213,0.2462827957596039,0.1656568003967057,0.3711749647921125,0.29430811814187335
4.27430235111917e-5,0.16112744309100266,0.24628279575960474,0.16565680039672867,0.3711749647921073,0.29430811814187435
6.275659665931705e-5,0.1611274430910029,0.24628279575960652,0.16565680039675737,0.37117496479209744,0.294308118141876
9.468317522678325e-5,0.16112744309100124,0.24628279575961065,0.16565680039679576,0.3711749647920765,0.2943081181418785
0.00014534315970229995,0.1611274430909911,0.24628279575961834,0.16565680039684164,0.37117496479203477,0.29430811814187946
0.00019986401976040388,0.1611274430909745,0.24628279575962092,0.16565680039687677,0.3711749647919853,0.29430811814187247
0.00026792819470669365,0.16112744309095486,0.24628279575961418,0.16565680039690975,0.37117496479192813,0.2943081181418561
0.00035595623840198613,0.16112744309093419,0.2462827957595903,0.16565680039694833,0.3711749647918753,0.29430811814182484
0.0004559562384019861,0.16112744309092147,0.2462827957595533,0.16565680039699782,0.3711749647918513,0.29430811814178687
0.0005559562384019861,0.16112744309091895,0.24628279575952106,0.16565680039705405,0.3711749647918589,0.2943081181417585
0.0006559562384019862,0.16112744309092308,0.24628279575950573,0.16565680039710998,0.371174964791884,0.29430811814174795
0.0007559562384019862,0.16112744309092983,0.2462827957595101,0.16565680039715733,0.3711749647919122,0.2943081181417553
0.0008559562384019863,0.16112744309093618,0.24628279575952783,0.1656568003971903,0.3711749647919333,0.2943081181417736
0.0009559562384019863,0.16112744309094057,0.2462827957595502,0.1656568003972081,0.37117496479194273,0.29430811814179475
0.0010559562384019863,0.16112744309094298,0.24628279575957035,0.165656800397215,0.3711749647919425,0.2943081181418129
0.0011559562384019864,0.16112744309094423,0.24628279575958503,0.16565680039721795,0.3711749647919392,0.2943081181418259
0.0012559562384019864,0.16112744309094532,0.24628279575959328,0.16565680039722178,0.3711749647919387,0.2943081181418334
0.0013559562384019865,0.16112744309094854,0.24628279575959627,0.16565680039722866,0.3711749647919437,0.29430811814183766
0.0014559562384019865,0.16112744309095475,0.2462827957595969,0.1656568003972385,0.37117496479195466,0.2943081181418416
0.0015559562384019866,0.1611274430909636,0.24628279575959816,0.16565680039724992,0.37117496479197104,0.2943081181418475
0.0016559562384019866,0.16112744309097468,0.24628279575960213,0.16565680039725977,0.3711749647919885,0.29430811814185687
0.0017559562384019867,0.16112744309098706,0.2462827957596095,0.16565680039726824,0.371174964791996,0.2943081181418698
0.0018559562384019867,0.16112744309099952,0.24628279575961948,0.16565680039728164,0.3711749647919746,0.29430811814188496
0.0019559562384019865,0.16112744309100893,0.2462827957596328,0.16565680039730224,0.37117496479192225,0.2943081181419013
0.0020559562384019864,0.1611274430910114,0.2462827957596517,0.16565680039732048,0.3711749647918704,0.2943081181419185
0.002155956238401986,0.16112744309100754,0.2462827957596765,0.1656568003973381,0.3711749647918402,0.2943081181419371
0.002255956238401986,0.1611274430910018,0.24628279575970455,0.1656568003973603,0.37117496479183454,0.29430811814195745
0.002355956238401986,0.16112744309099897,0.24628279575973355,0.16565680039738162,0.371174964791846,0.29430811814198016
0.0024559562384019857,0.16112744309100105,0.24628279575976153,0.16565680039740277,0.3711749647918592,0.2943081181420047
0.0025559562384019855,0.16112744309100613,0.24628279575978426,0.16565680039741787,0.37117496479186646,0.2943081181420265
0.0026559562384019853,0.16112744309101262,0.24628279575979958,0.16565680039742794,0.37117496479186196,0.2943081181420429
0.002755956238401985,0.16112744309101917,0.24628279575980946,0.16565680039743144,0.37117496479184964,0.2943081181420547
0.002855956238401985,0.16112744309102509,0.24628279575981504,0.1656568003974327,0.37117496479183276,0.29430811814206265
0.002955956238401985,0.1611274430910309,0.24628279575981846,0.1656568003974325,0.3711749647918175,0.29430811814206864
0.0030559562384019846,0.16112744309103635,0.24628279575982123,0.16565680039743277,0.37117496479180556,0.29430811814207397
0.0031559562384019845,0.1611274430910415,0.24628279575982426,0.1656568003974303,0.3711749647917972,0.2943081181420793
0.0032559562384019843,0.16112744309104712,0.2462827957598281,0.16565680039742467,0.37117496479179185,0.29430811814208563
0.003355956238401984,0.16112744309105356,0.24628279575983228,0.1656568003974169,0.37117496479178874,0.2943081181420926
0.003455956238401984,0.1611274430910589,0.24628279575983617,0.1656568003974106,0.37117496479178946,0.29430811814209884
0.003555956238401984,0.1611274430910622,0.24628279575983925,0.16565680039740902,0.3711749647917938,0.2943081181421032
0.0036559562384019836,0.16112744309106594,0.24628279575984255,0.1656568003974092,0.3711749647917992,0.294308118142108
0.0037559562384019834,0.16112744309107374,0.24628279575984743,0.16565680039740613,0.3711749647917981,0.2943081181421164
0.0038559562384019833,0.16112744309108462,0.24628279575985268,0.16565680039739428,0.37117496479178674,0.29430811814212676
