Time,Bus-1-Mag,Bus-1-Ang,Bus-2-Mag,Bus-2-Ang,Bus-3-Mag,Bus-3-Ang,Bus-4-Mag,Bus-4-Ang,Bus-5-Mag,Bus-5-Ang,Bus-6-Mag,Bus-6-Ang,Bus-7-Mag,Bus-7-Ang,Bus-8-Mag,Bus-8-Ang,Bus-9-Mag,Bus-9-Ang
0.0,1.04,0.0,1.025,-0.11728766554347848,1.0249999999999997,-0.0685048411147354,1.0183499429746357,-0.09097408097081354,0.9788347694136267,-0.20653475737822644,1.0014259305457707,-0.17190002066046672,1.0156102530540772,-0.15644270333157853,0.9981652597307552,-0.19688378323074734,1.0220185867603684,-0.11607095401520941
1.0e-6,1.0400000000000003,-4.642453594110964e-15,1.025000000000001,-0.11728766554348319,1.025000000000003,-0.06850484111474044,1.0183499429746363,-0.09097408097081823,0.9788347694136272,-0.20653475737823135,1.0014259305457718,-0.17190002066047158,1.0156102530540785,-0.1564427033315833,0.998165259730757,-0.19688378323075217,1.0220185867603713,-0.11607095401521436
2.048662368997891e-6,1.0400000000000003,-5.4294950335220956e-15,1.025000000000002,-0.11728766554348387,1.0250000000000037,-0.06850484111474114,1.0183499429746365,-0.09097408097081904,0.9788347694136278,-0.2065347573782321,1.0014259305457722,-0.1719000206604723,1.0156102530540796,-0.15644270333158397,0.9981652597307581,-0.1968837832307528,1.022018586760372,-0.11607095401521504
3.6652846000590474e-6,1.0400000000000003,-2.8029311667965362e-15,1.0250000000000017,-0.11728766554348088,1.0250000000000032,-0.06850484111473844,1.018349942974636,-0.09097408097081636,0.9788347694136275,-0.20653475737822938,1.0014259305457718,-0.17190002066046964,1.0156102530540791,-0.1564427033315811,0.9981652597307573,-0.1968837832307501,1.0220185867603713,-0.11607095401521235
5.560518329726268e-6,1.0400000000000003,-2.4250623549791453e-15,1.025000000000002,-0.11728766554348014,1.0250000000000041,-0.06850484111473808,1.0183499429746363,-0.09097408097081595,0.9788347694136278,-0.20653475737822882,1.0014259305457722,-0.17190002066046928,1.0156102530540794,-0.15644270333158045,0.9981652597307582,-0.19688378323074945,1.0220185867603722,-0.11607095401521193
8.922538009282111e-6,1.0400000000000023,-5.25969221562153e-15,1.0250000000000041,-0.11728766554348223,1.0250000000000057,-0.06850484111474077,1.0183499429746383,-0.09097408097081867,0.9788347694136297,-0.20653475737823143,1.0014259305457744,-0.17190002066047194,1.0156102530540814,-0.15644270333158267,0.9981652597307601,-0.19688378323075187,1.0220185867603742,-0.11607095401521454
1.3008950324106339e-5,1.0400000000000034,-2.965812980210911e-15,1.0250000000000048,-0.11728766554347916,1.0250000000000064,-0.06850484111473817,1.0183499429746394,-0.09097408097081623,0.9788347694136307,-0.20653475737822882,1.0014259305457751,-0.1719000206604694,1.015610253054082,-0.1564427033315798,0.9981652597307605,-0.19688378323074912,1.0220185867603746,-0.1160709540152119
2.0417326777638563e-5,1.0400000000000063,3.306720935017199e-16,1.0250000000000081,-0.11728766554347483,1.0250000000000101,-0.068504841114735,1.0183499429746423,-0.09097408097081287,0.9788347694136335,-0.20653475737822524,1.0014259305457782,-0.17190002066046603,1.0156102530540854,-0.15644270333157573,0.998165259730764,-0.19688378323074532,1.0220185867603782,-0.11607095401520857
3.055666712330326e-5,1.0400000000000142,9.127393265383958e-16,1.0250000000000168,-0.11728766554347443,1.025000000000019,-0.06850484111473629,1.0183499429746503,-0.09097408097081254,0.9788347694136413,-0.206534757378225,1.0014259305457862,-0.17190002066046614,1.015610253054094,-0.15644270333157562,0.9981652597307723,-0.19688378323074562,1.022018586760387,-0.11607095401520945
4.4700264621287545e-5,1.0400000000000353,9.89922998654995e-15,1.025000000000037,-0.11728766554346867,1.0250000000000374,-0.06850484111473311,1.0183499429746707,-0.0909740809708045,0.9788347694136608,-0.20653475737821775,1.0014259305458058,-0.1719000206604595,1.0156102530541136,-0.15644270333156987,0.9981652597307913,-0.19688378323074054,1.0220185867604057,-0.1160709540152053
6.625423860251236e-5,1.0400000000000935,3.249293370567837e-14,1.0250000000000954,-0.11728766554346254,1.025000000000097,-0.06850484111473185,1.0183499429747278,-0.09097408097078595,0.9788347694137159,-0.206534757378203,1.0014259305458626,-0.17190002066044607,1.0156102530541717,-0.15644270333156243,0.9981652597308489,-0.19688378323073447,1.022018586760465,-0.116070954015201
9.19085662092433e-5,1.0400000000002192,8.705121140274983e-14,1.025000000000217,-0.11728766554345056,1.0250000000002193,-0.06850484111472664,1.018349942974849,-0.09097408097074111,0.9788347694138319,-0.2065347573781682,1.0014259305459816,-0.17190002066041327,1.015610253054292,-0.15644270333154645,0.9981652597309676,-0.19688378323072034,1.0220185867605867,-0.11607095401518948
0.00013140796209837004,1.0400000000005507,2.2735772915921755e-13,1.0250000000005317,-0.11728766554343792,1.0250000000005375,-0.06850484111472736,1.0183499429751683,-0.09097408097062906,0.9788347694141356,-0.20653475737808596,1.001425930546294,-0.1719000206603354,1.0156102530546054,-0.1564427033315206,0.9981652597312763,-0.1968837832306984,1.0220185867609044,-0.11607095401517281
0.0001809974832645753,1.0400000000012133,4.982927529554911e-13,1.0250000000011463,-0.11728766554345006,1.025000000001156,-0.06850484111475996,1.0183499429758027,-0.09097408097041952,0.9788347694147359,-0.2065347573779424,1.0014259305469104,-0.1719000206601998,1.0156102530552185,-0.15644270333150218,0.9981652597318801,-0.1968837832306862,1.022018586761524,-0.11607095401516923
