Time,generator-102-1_ir_cnv,generator-102-1_ii_cnv,generator-102-1_i_mag
0.0,0.6434076149668596,0.09458864782876533,0.6503232821415952
1.0e-6,0.6434076149668596,0.09458864782876533,0.6503232821415952
1.1e-5,0.6434076149668596,0.09458864782876532,0.6503232821415952
3.8303348551391324e-5,0.6434076149668596,0.09458864782876532,0.6503232821415952
0.00011661900977474361,0.6434076149668596,0.0945886478287653,0.6503232821415952
0.0002166190097747436,0.6434076149668597,0.09458864782876528,0.6503232821415954
0.0003166190097747436,0.6434076149668596,0.0945886478287653,0.6503232821415952
0.0004166190097747436,0.6434076149668596,0.09458864782876532,0.6503232821415952
0.0005166190097747436,0.6434076149668596,0.0945886478287653,0.6503232821415952
0.0006166190097747436,0.6434076149668597,0.0945886478287653,0.6503232821415954
0.0007166190097747437,0.6434076149668596,0.09458864782876536,0.6503232821415952
0.0008166190097747437,0.6434076149668596,0.09458864782876535,0.6503232821415952
0.0009166190097747438,0.6434076149668596,0.09458864782876535,0.6503232821415952
0.0010166190097747438,0.6434076149668596,0.0945886478287653,0.6503232821415952
0.0011166190097747438,0.6434076149668595,0.09458864782876526,0.6503232821415951
0.001216619009774744,0.6434076149668595,0.09458864782876523,0.6503232821415951
0.001316619009774744,0.6434076149668595,0.09458864782876523,0.6503232821415951
0.001416619009774744,0.6434076149668595,0.09458864782876525,0.6503232821415951
0.001516619009774744,0.6434076149668596,0.09458864782876525,0.6503232821415952
0.001616619009774744,0.6434076149668596,0.09458864782876528,0.6503232821415952
0.0017166190097747441,0.6434076149668596,0.09458864782876528,0.6503232821415952
0.0018166190097747442,0.6434076149668596,0.0945886478287653,0.6503232821415952
0.0019166190097747442,0.6434076149668596,0.09458864782876532,0.6503232821415952
0.0020166190097747443,0.6434076149668596,0.09458864782876528,0.6503232821415952
0.002116619009774744,0.6434076149668597,0.09458864782876529,0.6503232821415954
0.002216619009774744,0.6434076149668596,0.09458864782876532,0.6503232821415952
0.0023166190097747437,0.6434076149668596,0.0945886478287653,0.6503232821415952
0.0024166190097747436,0.6434076149668596,0.0945886478287653,0.6503232821415952
0.0025166190097747434,0.6434076149668596,0.0945886478287653,0.6503232821415952
0.0026166190097747432,0.6434076149668596,0.0945886478287653,0.6503232821415952
0.002716619009774743,0.6434076149668597,0.0945886478287653,0.6503232821415954
0.002816619009774743,0.6434076149668596,0.09458864782876535,0.6503232821415952
0.0029166190097747427,0.6434076149668596,0.09458864782876533,0.6503232821415952
0.0030166190097747425,0.6434076149668596,0.09458864782876532,0.6503232821415952
0.0031166190097747424,0.6434076149668596,0.09458864782876529,0.6503232821415952
0.003216619009774742,0.6434076149668595,0.09458864782876526,0.6503232821415951
0.003316619009774742,0.6434076149668595,0.09458864782876525,0.6503232821415951
0.003416619009774742,0.6434076149668595,0.09458864782876528,0.6503232821415951
0.0035166190097747417,0.6434076149668596,0.09458864782876529,0.6503232821415952
0.0036166190097747415,0.6434076149668596,0.09458864782876529,0.6503232821415952
0.0037166190097747413,0.6434076149668595,0.09458864782876528,0.6503232821415951
0.003816619009774741,0.6434076149668595,0.09458864782876529,0.6503232821415951
0.0039166190097747414,0.6434076149668595,0.09458864782876529,0.6503232821415951
0.004016619009774742,0.6434076149668595,0.09458864782876525,0.6503232821415951
0.004116619009774742,0.6434076149668595,0.09458864782876518,0.6503232821415951
0.004216619009774742,0.6434076149668595,0.0945886478287652,0.6503232821415951
0.0043166190097747425,0.6434076149668595,0.09458864782876518,0.6503232821415951
0.004416619009774743,0.6434076149668595,0.09458864782876518,0.6503232821415951
0.004516619009774743,0.6434076149668595,0.09458864782876522,0.6503232821415951
0.004616619009774743,0.6434076149668595,0.09458864782876526,0.6503232821415951
0.0047166190097747435,0.6434076149668595,0.09458864782876526,0.6503232821415951
0.004816619009774744,0.6434076149668595,0.09458864782876526,0.6503232821415951
0.004916619009774744,0.6434076149668595,0.09458864782876525,0.6503232821415951
0.005016619009774744,0.6434076149668595,0.09458864782876523,0.6503232821415951
0.005116619009774745,0.6434076149668595,0.09458864782876525,0.6503232821415951
0.005216619009774745,0.6434076149668595,0.09458864782876526,0.6503232821415951
0.005316619009774745,0.6434076149668596,0.09458864782876526,0.6503232821415952
0.005416619009774745,0.6434076149668596,0.09458864782876526,0.6503232821415952
0.005516619009774746,0.6434076149668596,0.09458864782876526,0.6503232821415952
0.005616619009774746,0.6434076149668596,0.09458864782876526,0.6503232821415952
0.005716619009774746,0.6434076149668596,0.09458864782876528,0.6503232821415952
0.005816619009774746,0.6434076149668596,0.09458864782876529,0.6503232821415952
0.005916619009774747,0.6434076149668596,0.09458864782876528,0.6503232821415952
0.006016619009774747,0.6434076149668597,0.09458864782876523,0.6503232821415953
0.006116619009774747,0.6434076149668597,0.09458864782876523,0.6503232821415953
0.0062166190097747475,0.6434076149668597,0.09458864782876522,0.6503232821415953
0.006316619009774748,0.6434076149668597,0.09458864782876523,0.6503232821415953
0.006416619009774748,0.6434076149668596,0.09458864782876526,0.6503232821415952
0.006516619009774748,0.6434076149668596,0.09458864782876522,0.6503232821415952
0.0066166190097747485,0.6434076149668597,0.09458864782876517,0.6503232821415953
0.006716619009774749,0.6434076149668597,0.09458864782876518,0.6503232821415953
0.006816619009774749,0.6434076149668597,0.09458864782876522,0.6503232821415953
0.006916619009774749,0.6434076149668597,0.09458864782876528,0.6503232821415954
0.00701661900977475,0.6434076149668596,0.09458864782876532,0.6503232821415952
0.00711661900977475,0.6434076149668597,0.09458864782876532,0.6503232821415954
